player_id,loyalty_tier,marketing_opt_in,engagement_score,churn_probability,synthetic_churn_profile,historical_session_count,target_window_session_count
PLY00000001,Standard,1,0.5757172282139402,0.35730551635085284,0,6,2
PLY00000002,Silver,0,0.4785146502045812,0.6038236193660091,1,6,0
PLY00000003,Standard,1,0.5209298922498317,0.4178984106590926,0,1,3
PLY00000005,Silver,0,0.3315956093925087,0.5278853960639659,1,4,0
PLY00000006,Silver,1,0.8349863828565013,0.319526258118413,0,2,2
PLY00000007,Standard,1,0.2692719047285687,0.7134456755060815,1,2,0
PLY00000008,Standard,0,0.41942337359467874,0.41762487778493934,0,3,1
PLY00000009,Silver,1,0.5942864541472539,0.49779423605924633,1,5,0
PLY00000011,Standard,0,0.42122829107384097,0.501424068284823,0,3,2
PLY00000012,Standard,1,0.5095583568128217,0.4619264521510803,1,1,0
PLY00000013,Standard,1,0.6582939293616974,0.3989506194074171,0,2,3
PLY00000014,Silver,0,0.23331230368576356,0.7341373242883684,1,4,0
PLY00000015,Gold,0,0.6779409784573331,0.397042766285861,0,2,3
PLY00000016,Silver,0,0.3352426765834372,0.618237363172082,0,1,1
PLY00000017,Standard,1,0.23642954550340417,0.6598811709622915,1,3,0
PLY00000018,Standard,1,0.417290508638357,0.5996582113801573,1,3,0
PLY00000019,Standard,1,0.26606332830612706,0.6636429658956974,1,2,0
PLY00000020,Silver,1,0.501206881827124,0.6474143809876576,1,2,0
PLY00000021,Standard,1,0.3788049932000383,0.6416166823794485,0,4,1
PLY00000022,Gold,1,0.5274340638203656,0.3880849127952114,1,7,0
PLY00000023,Silver,1,0.4142037205366136,0.518496223413963,1,1,0
PLY00000024,Standard,1,0.6228960672691309,0.41326948414500914,0,4,3
PLY00000025,Standard,0,0.23824994240195538,0.7821327585421922,1,1,0
PLY00000026,Standard,1,0.540089526094868,0.5936593200406671,0,5,1
PLY00000027,Silver,1,0.4420923097838423,0.5043677146559566,0,2,3
PLY00000028,Standard,1,0.36669711823438367,0.5218116018666317,1,3,0
PLY00000029,Silver,1,0.5830812368547358,0.34402193143000537,1,3,0
PLY00000030,Standard,1,0.3808621605909243,0.6128292349111483,1,2,0
PLY00000031,Standard,1,0.24473776502656927,0.8309498917627727,1,3,0
PLY00000032,Standard,0,0.40935150287521027,0.6201443244011562,1,2,0
PLY00000033,Standard,1,0.31661210052124467,0.5022409122633039,1,3,0
PLY00000034,Standard,0,0.31082572106430195,0.5861034180170598,1,2,0
PLY00000035,Standard,0,0.4105211286790611,0.5198746693947294,0,1,1
PLY00000036,Standard,1,0.05,0.7488144132270053,1,1,0
PLY00000037,Standard,1,0.1942336809789656,0.6908987587893923,1,2,0
PLY00000038,Standard,1,0.5101643184185893,0.5264221215390401,0,3,2
PLY00000040,Standard,1,0.4862436289749103,0.5715432455756196,0,4,1
PLY00000041,Standard,1,0.7010754372647279,0.4443162233262383,0,4,5
PLY00000042,Standard,0,0.3184368728722079,0.6818395255628776,0,4,2
PLY00000043,Standard,0,0.1762345223374054,0.5814021768923044,1,2,0
PLY00000044,Standard,1,0.23530045747822848,0.6093967034820679,1,1,0
PLY00000046,Standard,0,0.2977722760479983,0.6425528715886613,1,1,0
